Topic,Topic_Label,Num_Documents,Avg_Length,Min_Length,Max_Length,Std_Length
0,"Topic_0: command, army, commander",357,141.5546218487395,21,421,56.80967746280936
1,"Topic_1: uas, aircraft, aviation",333,141.88288288288288,40,449,53.78084860779227
2,"Topic_2: operation, headquarter, commander",190,136.30526315789473,49,282,40.83460186093742
3,"Topic_3: guard, reserve, army",109,146.36697247706422,77,330,50.3079800244142
4,"Topic_4: raf, alignment, division",105,144.5047619047619,62,401,47.298268126861196
5,"Topic_5: logistics, logistician, management",89,135.6629213483146,56,289,46.07808317160225
6,"Topic_6: readiness, unit, train",105,128.6952380952381,33,254,43.601031837839145
7,"Topic_7: domain, mdo, operation",108,151.59259259259258,36,323,48.31360460134143
8,"Topic_8: manufacture, print, technology",67,136.83582089552237,51,307,53.663850645636444
9,"Topic_9: mobilization, mfgi, unit",64,139.46875,65,237,39.42911707656538
10,"Topic_10: army, arng, reserve",131,159.15267175572518,26,669,70.23553321823297
11,"Topic_11: force, domain, warfare",72,142.375,60,349,48.078476791133426
12,"Topic_12: replacement, leader, army",65,136.26153846153846,64,283,46.743910149822455
13,"Topic_13: brigade, bcts, battalion",105,137.73333333333332,52,325,45.25720498632901
14,"Topic_14: reserve, army, operational",83,140.0722891566265,35,299,46.19883249255791
15,"Topic_15: capability, army, artillery",38,133.60526315789474,52,276,48.377647880032704
16,"Topic_16: train, unit, readiness",48,126.83333333333333,70,229,32.71743503937244
17,"Topic_17: sfa, advisor, operation",42,126.45238095238095,35,192,32.777897882096724
18,"Topic_18: reserve, support, army",54,132.87037037037038,65,232,37.14488464672331
19,"Topic_19: sustainment, combat, requirement",69,175.79710144927537,64,396,65.86538307222222
20,"Topic_20: equipment, maintenance, support",72,136.18055555555554,56,275,39.61738058145443
