Topic,Topic_Label,Unique_Words,Total_Words,Diversity_Score
0,"Topic_0: command, army, commander",5,10,50.0
1,"Topic_1: uas, aircraft, aviation",8,10,80.0
2,"Topic_2: operation, headquarter, commander",4,10,40.0
3,"Topic_3: guard, reserve, army",4,10,40.0
4,"Topic_4: raf, alignment, division",4,10,40.0
5,"Topic_5: logistics, logistician, management",6,10,60.0
6,"Topic_6: readiness, unit, train",2,10,20.0
7,"Topic_7: domain, mdo, operation",6,10,60.0
8,"Topic_8: manufacture, print, technology",8,10,80.0
9,"Topic_9: mobilization, mfgi, unit",4,10,40.0
10,"Topic_10: army, arng, reserve",4,10,40.0
11,"Topic_11: force, domain, warfare",5,10,50.0
12,"Topic_12: replacement, leader, army",6,10,60.0
13,"Topic_13: brigade, bcts, battalion",3,10,30.0
14,"Topic_14: reserve, army, operational",2,10,20.0
15,"Topic_15: capability, army, artillery",4,10,40.0
16,"Topic_16: train, unit, readiness",3,10,30.0
17,"Topic_17: sfa, advisor, operation",5,10,50.0
18,"Topic_18: reserve, support, army",5,10,50.0
19,"Topic_19: sustainment, combat, requirement",2,10,20.0
20,"Topic_20: equipment, maintenance, support",3,10,30.0
