Topic,Label
0,"Topic_0: command, army, commander"
1,"Topic_1: uas, aircraft, aviation"
2,"Topic_2: operation, headquarter, commander"
3,"Topic_3: guard, reserve, army"
4,"Topic_4: raf, alignment, division"
5,"Topic_5: logistics, logistician, management"
6,"Topic_6: readiness, unit, train"
7,"Topic_7: domain, mdo, operation"
8,"Topic_8: manufacture, print, technology"
9,"Topic_9: mobilization, mfgi, unit"
10,"Topic_10: army, arng, reserve"
11,"Topic_11: force, domain, warfare"
12,"Topic_12: replacement, leader, army"
13,"Topic_13: brigade, bcts, battalion"
14,"Topic_14: reserve, army, operational"
15,"Topic_15: capability, army, artillery"
16,"Topic_16: train, unit, readiness"
17,"Topic_17: sfa, advisor, operation"
18,"Topic_18: reserve, support, army"
19,"Topic_19: sustainment, combat, requirement"
20,"Topic_20: equipment, maintenance, support"
