,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
Topic_0,1.0000001,0.8082061,0.89886725,0.8583989,0.86548895,0.8068676,0.86808336,0.9068157,0.6699606,0.82808363,0.8836857,0.86896944,0.9242838,0.91132146,0.8239411,0.8301077,0.83404535,0.891974,0.82035273,0.9134164,0.8674902
Topic_1,0.8082061,1.0,0.82939124,0.80306476,0.8410844,0.8030145,0.81554574,0.8812492,0.75782305,0.7979524,0.8688867,0.8846512,0.77882385,0.84600186,0.7899759,0.8427528,0.77064633,0.82828206,0.77996093,0.87213415,0.8711221
Topic_2,0.89886725,0.82939124,1.0000002,0.8443221,0.9205871,0.83300185,0.86590284,0.91818017,0.6804469,0.87520343,0.8991731,0.8617009,0.8778779,0.9344409,0.8448654,0.8894704,0.80484873,0.92308754,0.876488,0.8950141,0.90160245
Topic_3,0.8583989,0.80306476,0.8443221,1.0000001,0.8324782,0.7575326,0.8891736,0.8155625,0.6425279,0.9043509,0.9407486,0.8219446,0.8585006,0.89150965,0.9226517,0.7758779,0.85241556,0.8606304,0.9407302,0.917993,0.86568403
Topic_4,0.86548895,0.8410844,0.9205871,0.8324782,1.0000001,0.8068214,0.88013375,0.87392396,0.6558595,0.8585066,0.90990007,0.86414194,0.86788446,0.9183703,0.8605406,0.8651455,0.8378464,0.92203087,0.8429684,0.88513005,0.875126
Topic_5,0.8068676,0.8030145,0.83300185,0.7575326,0.8068214,1.0000002,0.8236449,0.80631924,0.8050487,0.7922279,0.83137774,0.79285234,0.8087624,0.8264667,0.7687519,0.79451895,0.78757435,0.7991187,0.7422966,0.82824486,0.88607067
Topic_6,0.86808336,0.81554574,0.86590284,0.8891736,0.88013375,0.8236449,1.0000001,0.8465945,0.67604905,0.9220719,0.9349141,0.8581066,0.91860205,0.92898184,0.94402003,0.84365314,0.9358781,0.85502905,0.89492375,0.9048005,0.92996126
Topic_7,0.9068157,0.8812492,0.91818017,0.8155625,0.87392396,0.80631924,0.8465945,1.0000001,0.71273136,0.8239693,0.8814488,0.9529262,0.8442131,0.91219765,0.80152744,0.90006703,0.78600323,0.8764529,0.80290633,0.91541475,0.88665926
Topic_8,0.6699606,0.75782305,0.6804469,0.6425279,0.6558595,0.8050487,0.67604905,0.71273136,0.99999994,0.6601119,0.69338757,0.672231,0.6734881,0.7050627,0.62726647,0.66230947,0.66676635,0.6494299,0.6250801,0.7301769,0.81287974
Topic_9,0.82808363,0.7979524,0.87520343,0.9043509,0.8585066,0.7922279,0.9220719,0.8239693,0.6601119,0.99999976,0.92122775,0.83046436,0.8618481,0.91832507,0.9169961,0.81672364,0.8539969,0.85687757,0.9221687,0.8911845,0.89472365
Topic_10,0.8836857,0.8688867,0.8991731,0.9407486,0.90990007,0.83137774,0.9349141,0.8814488,0.69338757,0.92122775,1.0000001,0.90753055,0.88397497,0.9329885,0.9438531,0.8503795,0.88662744,0.9108552,0.90788126,0.96503437,0.9257641
Topic_11,0.86896944,0.8846512,0.8617009,0.8219446,0.86414194,0.79285234,0.8581066,0.9529262,0.672231,0.83046436,0.90753055,0.99999994,0.8193331,0.8848481,0.82748145,0.9017988,0.79583734,0.85874677,0.7792083,0.9119617,0.85916287
Topic_12,0.9242838,0.77882385,0.8778779,0.8585006,0.86788446,0.8087624,0.91860205,0.8442131,0.6734881,0.8618481,0.88397497,0.8193331,0.99999994,0.94535506,0.8611134,0.82609427,0.9519235,0.861636,0.8451828,0.89307135,0.9010749
Topic_13,0.91132146,0.84600186,0.9344409,0.89150965,0.9183703,0.8264667,0.92898184,0.91219765,0.7050627,0.91832507,0.9329885,0.8848481,0.94535506,1.0000001,0.8936661,0.8789437,0.90408045,0.90244395,0.89923215,0.9468093,0.944076
Topic_14,0.8239411,0.7899759,0.8448654,0.9226517,0.8605406,0.7687519,0.94402003,0.80152744,0.62726647,0.9169961,0.9438531,0.82748145,0.8611134,0.8936661,1.0,0.7982766,0.8882292,0.8376003,0.9448596,0.88257426,0.8756359
Topic_15,0.8301077,0.8427528,0.8894704,0.7758779,0.8651455,0.79451895,0.84365314,0.90006703,0.66230947,0.81672364,0.8503795,0.9017988,0.82609427,0.8789437,0.7982766,1.0,0.7978165,0.84071654,0.7717434,0.84131145,0.86964846
Topic_16,0.83404535,0.77064633,0.80484873,0.85241556,0.8378464,0.78757435,0.9358781,0.78600323,0.66676635,0.8539969,0.88662744,0.79583734,0.9519235,0.90408045,0.8882292,0.7978165,1.0,0.8158528,0.83481795,0.85966575,0.8925143
Topic_17,0.891974,0.82828206,0.92308754,0.8606304,0.92203087,0.7991187,0.85502905,0.8764529,0.6494299,0.85687757,0.9108552,0.85874677,0.861636,0.90244395,0.8376003,0.84071654,0.8158528,1.0000001,0.84182054,0.89300114,0.8672943
Topic_18,0.82035273,0.77996093,0.876488,0.9407302,0.8429684,0.7422966,0.89492375,0.80290633,0.6250801,0.9221687,0.90788126,0.7792083,0.8451828,0.89923215,0.9448596,0.7717434,0.83481795,0.84182054,0.99999994,0.87230116,0.8701333
