Topic,Count,Percentage
-1,34,1.452991452991453
0,357,15.256410256410257
1,333,14.23076923076923
2,190,8.11965811965812
3,109,4.6581196581196584
4,105,4.487179487179487
5,89,3.8034188034188032
6,105,4.487179487179487
7,108,4.615384615384616
8,67,2.8632478632478633
9,64,2.735042735042735
10,131,5.598290598290599
11,72,3.076923076923077
12,65,2.7777777777777777
13,105,4.487179487179487
14,83,3.547008547008547
15,38,1.6239316239316242
16,48,2.051282051282051
17,42,1.7948717948717947
18,54,2.307692307692308
19,69,2.9487179487179485
20,72,3.076923076923077
