Topic,Rank,Word,Score
0,1,command,0.04639395360243841
0,2,army,0.026990526773158566
0,3,commander,0.02247732893214732
0,4,leadership,0.01938930919538147
0,5,doctrine,0.015366031607358385
0,6,subordinate,0.014587013693897517
0,7,operation,0.014068902811627822
0,8,philosophy,0.012658032762296182
0,9,initiative,0.01231072108970395
0,10,strategic,0.011439471168710674
1,1,uas,0.033996470234777074
1,2,aircraft,0.03219675109483855
1,3,aviation,0.022723167273334142
1,4,unman,0.01917825717443957
1,5,drone,0.01820425237994726
1,6,technology,0.012538492040427753
1,7,army,0.01248790708447452
1,8,aerial,0.011476918984513109
1,9,pilot,0.009639120539308486
1,10,swarm,0.009513914469140135
2,1,operation,0.025210865590792258
2,2,headquarter,0.022121184323865915
2,3,commander,0.021498925157622733
2,4,support,0.020878163202972377
2,5,function,0.01688350050164955
2,6,component,0.015091382836424347
2,7,base,0.014158635636617766
2,8,army,0.013680626894070961
2,9,integrate,0.012815035856255654
2,10,corp,0.01228299700480608
3,1,guard,0.08650784476102799
3,2,reserve,0.03087313274935055
3,3,army,0.030255518539127814
3,4,component,0.017840351507654735
3,5,militia,0.017503992163613598
3,6,readiness,0.01620005834478112
3,7,increase,0.01421006887618865
3,8,general,0.013063374252661509
3,9,federal,0.012768355116743372
3,10,unit,0.012189672383645375
4,1,raf,0.09273866269045267
4,2,alignment,0.016742590867521306
4,3,division,0.01622646224056221
4,4,operation,0.016037097977947067
4,5,support,0.01552790510093557
4,6,military,0.01340673842185044
4,7,commander,0.013111513466829419
4,8,region,0.013079259240327587
4,9,fund,0.012576654648520941
4,10,requirement,0.012560546129536021
5,1,logistics,0.08463294040209396
5,2,logistician,0.02338427507839094
5,3,management,0.021437716260620743
5,4,dod,0.021210872429443157
5,5,dla,0.01520898097527866
5,6,defense,0.01234732473620167
5,7,enterprise,0.01224351234947844
5,8,strategy,0.011947793846571837
5,9,army,0.011867891206282639
5,10,operation,0.011727981051268715
6,1,readiness,0.10024995573843362
6,2,unit,0.04818748881202964
6,3,train,0.03474232728967296
6,4,army,0.0334120626958585
6,5,rc,0.018214744961734627
6,6,reserve,0.017790132961214053
6,7,resource,0.016522602713304364
6,8,deployment,0.014779254421265717
6,9,equipment,0.013183581138360538
6,10,arforgen,0.012732979566793583
7,1,domain,0.04782189163603392
7,2,mdo,0.03881693382829002
7,3,operation,0.028543016527543683
7,4,enemy,0.025596374652137713
7,5,concept,0.0249086131493917
7,6,maneuver,0.015881817061159605
7,7,space,0.01481810066986
7,8,military,0.01481741286320712
7,9,intelligence,0.013531426941589373
7,10,battle,0.01254959130515845
8,1,manufacture,0.09477670662135071
8,2,print,0.06928983238339997
8,3,technology,0.036435186587253504
8,4,produce,0.0336149031984824
8,5,supply,0.02621651441412687
8,6,process,0.024643394023318572
8,7,product,0.01589992408929847
8,8,industry,0.015186012612026033
8,9,dod,0.013296873600715348
8,10,benefit,0.013035083455495538
9,1,mobilization,0.11600703452373036
9,2,mfgi,0.03235220915373182
9,3,unit,0.0320066493149337
9,4,mobilize,0.023919131525718
9,5,mfgis,0.02364503522621575
9,6,requirement,0.022768697276113994
9,7,army,0.022378213532195674
9,8,deployment,0.02072138829049746
9,9,reserve,0.016324858409195696
9,10,civilian,0.01587243428873679
10,1,army,0.04066822456791092
10,2,arng,0.0266542751382686
10,3,reserve,0.026303761692730486
10,4,readiness,0.02617872641821522
10,5,ac,0.02223262083663738
10,6,component,0.021149210049759528
10,7,combat,0.01517202495335365
10,8,usar,0.015010537480481768
10,9,operation,0.013329595178852984
10,10,policy,0.012298221005120555
11,1,force,0.03517458001959662
11,2,domain,0.030714645681977203
11,3,warfare,0.026514768311204796
11,4,army,0.024060234778479118
11,5,operation,0.023091289759589174
11,6,russia,0.02066445907743153
11,7,mdo,0.01651607199690053
11,8,artillery,0.014874254888298402
11,9,fight,0.014313769391416901
11,10,area,0.013806563383746716
12,1,replacement,0.0313160867486481
12,2,leader,0.029440778709269973
12,3,army,0.027062771100274864
12,4,commander,0.022599239542043632
12,5,plan,0.019424386757963742
12,6,combat,0.01589624183824088
12,7,develop,0.01581120483068806
12,8,command,0.013454466971934172
12,9,basic,0.01339871472066596
12,10,rotation,0.01284686612696268
13,1,brigade,0.031756316781358145
13,2,bcts,0.027444796373881145
13,3,battalion,0.02664196031596318
13,4,army,0.023121523773869796
13,5,readiness,0.021494717239451618
13,6,combat,0.020471795246042455
13,7,deploy,0.01440571718010706
13,8,infantry,0.014156762124944603
13,9,operation,0.013174001839205163
13,10,division,0.012371879723697028
14,1,reserve,0.10090449381939734
14,2,army,0.05323909883804501
14,3,operational,0.049769863636999805
14,4,unit,0.02573588963700443
14,5,train,0.025578197301360333
14,6,readiness,0.023059355498226092
14,7,mobilization,0.01870077685069539
14,8,guard,0.013907203795192908
14,9,require,0.013497972394541239
14,10,rc,0.013129096258177805
15,1,capability,0.02906580475667678
15,2,army,0.027476978679782615
15,3,artillery,0.020559732417094422
15,4,integrate,0.020465835580759487
15,5,command,0.018999328040858975
15,6,strategic,0.017899953937926046
